timestamp	json_file	law_url	reason
2025-04-15T04:38:44.187560	perturbed_DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIPAGREEMENT.txt.json	https://www.sec.gov/divisions/investment/whistleblower/ia-section-36a	Snippet was empty or fetch failed.
2025-04-15T04:38:59.889459	perturbed_ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENTAGREEMENT.txt.json	https://law.justia.com/codes/kansas/2022/chapter-84/article-1/section-84-1-103/	Snippet was empty or fetch failed.
2025-04-15T04:39:07.399195	perturbed_PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUALPROPERTYAGREEMENT.txt.json	https://casetext.com/statute/pennsylvania-statutes/title-42-judiciary-and-judicial-procedure/chapter-83a-uniform-contribution-among-tortfeasors-act/subchapter-a-general-provisions/section-8322-effect-of-release	Snippet was empty or fetch failed.
2025-04-15T04:39:11.720197	perturbed_CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEBSITEHOSTINGAGREEMENT.txt.json	https://www.law.cornell.edu/topn/computer_fraud_and_abuse_act	Snippet was empty or fetch failed.
2025-04-15T04:39:19.124563	perturbed_ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_EndorsementAgreement.txt.json	https://docs.legis.wisconsin.gov/statutes/statutes/611/11	Snippet was empty or fetch failed.
2025-04-15T04:39:22.831402	perturbed_KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTINGAGREEMENT.txt.json	https://statutes.capitol.texas.gov/Docs/BC/htm/BC.134A.htm	Snippet was empty or fetch failed.
2025-04-15T04:39:26.158695	perturbed_WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTIONANDDISTRIBUTIONAGREEMENT.txt.json	https://www.law.cornell.edu/topn/computer_fraud_and_abuse_act	Snippet was empty or fetch failed.
2025-04-15T04:39:33.470844	perturbed_ReynoldsConsumerProductsInc_20191115_S-1_EX-10.18_11896469_EX-10.18_SupplyAgreement.txt.json	https://www.sec.gov/spotlight/sox/index.shtml	Snippet was empty or fetch failed.
2025-04-15T04:39:48.093666	perturbed_LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_SupplyAgreement.txt.json	http://www.fdi.gov.cn/1800000121_39_678_0_7.html	Snippet was empty or fetch failed.
2025-04-15T04:39:55.964416	perturbed_ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.txt.json	https://www.law.cornell.edu/topn/warranty	Snippet was empty or fetch failed.
