timestamp	json_file	law_url	status	chars
2025-04-23T04:33:11.069275	perturbed_DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIPAGREEMENT.txt.json	https://malegislature.gov/Laws/GeneralLaws/PartII/TitleIII/Chapter203E/Section103	EMPTY	0
2025-04-23T04:33:13.343915	perturbed_DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIPAGREEMENT.txt.json	https://law.justia.com/codes/massachusetts/2012/part-ii/title-iii/chapter-203e/section-103/	EMPTY	0
2025-04-23T04:33:15.184336	perturbed_DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIPAGREEMENT.txt.json	https://www.ecfr.gov/current/title-17/chapter-II/part-270/rule-270.30a-2	OK	893
2025-04-23T04:33:15.457358	perturbed_DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIPAGREEMENT.txt.json	https://www.law.cornell.edu/cfr/text/17/270.30a-2	OK	1696
2025-04-23T04:33:17.124406	perturbed_DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIPAGREEMENT.txt.json	https://malegislature.gov/Laws/GeneralLaws/PartII/TitleIII/Chapter203E/Section808	EMPTY	0
2025-04-23T04:33:18.649076	perturbed_DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIPAGREEMENT.txt.json	https://advance.lexis.com/container?config=00JAAzMTdhNmUyZC05ZWFjLTRmMzMtYjY4OS0wM2E0YThhMzIxOTYKAFzGAA14eJzAdQQAACUhAPQ4n59fH01HkQcAA==	EMPTY	0
2025-04-23T04:33:20.754211	perturbed_PACIRAPHARMACEUTICALS,INC.-A_RSTRATEGICLICENSING,DISTRIBUTIONANDMARKETINGAGREEMENT.txt.json	https://www.ecfr.gov/current/title-21/chapter-I/subchapter-D/part-314/section-314.81	OK	2021
2025-04-23T04:33:21.404683	perturbed_PACIRAPHARMACEUTICALS,INC.-A_RSTRATEGICLICENSING,DISTRIBUTIONANDMARKETINGAGREEMENT.txt.json	https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfcfr/cfrsearch.cfm?fr=314.81	OK	1976
2025-04-23T04:33:22.120014	perturbed_PACIRAPHARMACEUTICALS,INC.-A_RSTRATEGICLICENSING,DISTRIBUTIONANDMARKETINGAGREEMENT.txt.json	https://uscode.house.gov/view.xhtml?req=granuleid%3AUSC-prelim-title21-section351&edition=prelim	OK	2010
2025-04-23T04:33:22.336096	perturbed_PACIRAPHARMACEUTICALS,INC.-A_RSTRATEGICLICENSING,DISTRIBUTIONANDMARKETINGAGREEMENT.txt.json	https://www.law.cornell.edu/uscode/text/21/351	OK	2018
2025-04-23T04:33:22.336371	perturbed_PACIRAPHARMACEUTICALS,INC.-A_RSTRATEGICLICENSING,DISTRIBUTIONANDMARKETINGAGREEMENT.txt.json	⟨no-official-url1⟩	SKIP	0
2025-04-23T04:33:23.116231	perturbed_PACIRAPHARMACEUTICALS,INC.-A_RSTRATEGICLICENSING,DISTRIBUTIONANDMARKETINGAGREEMENT.txt.json	https://casetext.com/regulation/california-code-of-regulations/title-16-professional-and-vocational-regulations/division-3-medical-board-of-california/article-21-midwifery-practice/section-1415-insurance-requirements	EMPTY	0
