timestamp	json_file	law_url	status
2025-04-13T00:51:33.901132	ambiguity_legal/perturbed_DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIPAGREEMENT.txt.json	https://www.sec.gov/divisions/investment/whistleblower/ia-section-36a	ERROR: HTTPError – 403 Client Error: Forbidden for url: https://www.sec.gov/divisions/investment/whistleblower/ia-section-36a
2025-04-13T00:51:34.791882	ambiguity_legal/perturbed_DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIPAGREEMENT.txt.json	https://www.law.cornell.edu/rules/cfr/17/240.10b-5	ERROR: HTTPError – 404 Client Error: Not Found for url: https://www.law.cornell.edu/rules/cfr/17/240.10b-5
2025-04-13T00:51:35.893893	ambiguity_legal/perturbed_DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIPAGREEMENT.txt.json	https://malegislature.gov/Laws/GeneralLaws/PartI/TitleXXII/Chapter156D/Section8.51	OK
2025-04-13T00:51:36.701400	ambiguity_legal/perturbed_IntegrityFunds_20200121_485BPOS_EX-99.EUNDRCONTR_11948727_EX-99.EUNDRCONTR_ServiceAgreement.txt.json	https://www.law.cornell.edu/cfr/text/17/240.15c3-1	OK
2025-04-13T00:51:37.471220	ambiguity_legal/perturbed_IntegrityFunds_20200121_485BPOS_EX-99.EUNDRCONTR_11948727_EX-99.EUNDRCONTR_ServiceAgreement.txt.json	https://www.law.cornell.edu/topn/investment_company_act_of_1940	OK
2025-04-13T00:51:38.064091	ambiguity_legal/perturbed_IntegrityFunds_20200121_485BPOS_EX-99.EUNDRCONTR_11948727_EX-99.EUNDRCONTR_ServiceAgreement.txt.json	https://www.law.cornell.edu/cfr/text/17/270.12b-1	OK
2025-04-13T00:51:41.769968	ambiguity_legal/perturbed_VEONEER,INC_02_21_2020-EX-10.11-JOINTVENTUREAGREEMENT.txt.json	https://www.japaneselawtranslation.go.jp/en/laws/view/1/4728#aa	OK
2025-04-13T00:51:42.571942	ambiguity_legal/perturbed_VEONEER,INC_02_21_2020-EX-10.11-JOINTVENTUREAGREEMENT.txt.json	https://www.japaneselawtranslation.go.jp/en/laws/view/2509	OK
2025-04-13T00:51:44.334410	ambiguity_legal/perturbed_ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENTAGREEMENT.txt.json	https://law.justia.com/codes/kansas/2022/chapter-84/article-1/section-84-1-103/	ERROR: HTTPError – 404 Client Error: Not Found for url: https://law.justia.com/codes/kansas/2022/chapter-84/article-1/section-84-1-103/
2025-04-13T00:51:45.750203	ambiguity_legal/perturbed_ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENTAGREEMENT.txt.json	https://law.justia.com/codes/kansas/2022/chapter-84/article-1/section-84-1-304/	ERROR: HTTPError – 404 Client Error: Not Found for url: https://law.justia.com/codes/kansas/2022/chapter-84/article-1/section-84-1-304/
2025-04-13T00:51:46.669606	ambiguity_legal/perturbed_ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENTAGREEMENT.txt.json	https://casetext.com/statute/kansas-statutes-annotated/chapter-16-contracts-and-promises/article-1-general-provisions/section-16-121-indemnification-agreements-in-certain-contracts-void-as-against-public-policy-when	ERROR: HTTPError – 410 Client Error: Gone for url: https://casetext.com/statute/kansas-statutes-annotated/chapter-16-contracts-and-promises/article-1-general-provisions/section-16-121-indemnification-agreements-in-certain-contracts-void-as-against-public-policy-when
2025-04-13T00:51:47.712785	ambiguity_legal/perturbed_PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_FranchiseAgreement3.txt.json	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CIV&sectionNum=3426	OK
2025-04-13T00:51:48.480391	ambiguity_legal/perturbed_PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_FranchiseAgreement3.txt.json	https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=BPC&sectionNum=16600	OK
2025-04-13T00:51:48.985634	ambiguity_legal/perturbed_PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_FranchiseAgreement3.txt.json	N/A - General Principle	SKIPPED (no url)
2025-04-13T00:51:49.523487	ambiguity_legal/perturbed_PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUALPROPERTYAGREEMENT.txt.json	https://www.legis.state.pa.us/WU01/LI/LI/CT/HTM/13/00.001.003.004..HTM	OK
2025-04-13T00:51:50.142868	ambiguity_legal/perturbed_PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUALPROPERTYAGREEMENT.txt.json	https://casetext.com/statute/pennsylvania-statutes/title-42-judiciary-and-judicial-procedure/chapter-83a-uniform-contribution-among-tortfeasors-act/subchapter-a-general-provisions/section-8322-effect-of-release	ERROR: HTTPError – 410 Client Error: Gone for url: https://casetext.com/statute/pennsylvania-statutes/title-42-judiciary-and-judicial-procedure/chapter-83a-uniform-contribution-among-tortfeasors-act/subchapter-a-general-provisions/section-8322-effect-of-release
2025-04-13T00:51:51.075190	ambiguity_legal/perturbed_PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUALPROPERTYAGREEMENT.txt.json	https://codes.findlaw.com/pa/title-41-ps-interest/pa-st-sect-41-201.html	OK
